id,color,size,body_shape,habitat,nest_type,food_source,aggressiveness,life_span(days),queen_egg_rate(per day),queen_presence_per_hive,worker_population,drone_population(% of worker_population),honeycomb_structure,wax_production,honey_production,communication_method,predators,hibernation,migration,species
1,golden,small,round,meadow,cavity,flowers,humanfriendly,28,1568,2,30633,9.36,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
2,yellow,small,round,garden,tree,etc,unidentified,13,1789,2,27742,9.29,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
3,golden,medium,round,garden,cavity,fruits,humanfriendly,20,1981,3,64526,9.4,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
4,golden,small,round,forest,ground,etc,humanfriendly,25,1777,1,35555,11.78,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
5,golden,medium,round,meadow,ground,etc,unidentified,1,1848,3,31708,14.03,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
6,yellow,large,round,garden,tree,etc,unidentified,10,1949,3,60207,12.28,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
7,golden,large,round,garden,ground,,unidentified,14,1630,3,25040,15.89,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
8,golden,medium,round,meadow,cavity,flowers,unidentified,26,1692,3,32279,13.49,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
9,golden,medium,round,forest,ground,flowers,humanfriendly,1,1845,3,58015,14.72,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
10,golden,small,round,garden,ground,flowers,unidentified,19,1647,2,15848,9.37,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
11,golden,large,round,meadow,tree,fruits,humanfriendly,30,1950,2,36200,13.22,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
12,golden,large,round,garden,ground,etc,unidentified,5,1958,1,62170,11.75,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
13,yellow,large,round,meadow,tree,flowers,humanfriendly,11,1829,1,15402,9.44,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
14,golden,medium,round,forest,tree,etc,humanfriendly,24,1652,2,38563,9.09,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
15,golden,medium,round,garden,ground,etc,unidentified,25,1507,1,56361,14.2,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
16,golden,medium,round,forest,cavity,flowers,humanfriendly,28,2005,1,59974,9.25,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
17,golden,medium,round,forest,ground,flowers,humanfriendly,10,1682,3,22695,11.71,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
18,yellow,small,round,forest,cavity,fruits,humanfriendly,24,1849,1,64639,14.21,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
19,golden,large,round,garden,tree,flowers,humanfriendly,22,1511,2,10059,15.77,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
