Total,Mon,Tue,Wed,Thu,Fri,Sat,Sun,holiday,daylight_hours,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WSF2,WSF5,dry day,wet day,windy day,still day,hot day,snowy day,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31
3521.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.598870685736548,0,0,0,189,78,73.0,103.0,125.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3475.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8.616210684447172,0,0,0,189,83,65.0,94.0,112.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3148.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.634877071100597,0,0,0,217,89,57.0,80.0,98.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.654851473774508,0,0,0,239,78,51.0,76.0,94.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2142.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.67611445771033,0,0,0,239,78,13.0,54.0,63.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3537.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.698645594363219,0,0,0,211,78,19.0,40.0,54.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3501.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,8.72242353235912,0,0,0,161,89,16.0,40.0,45.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3235.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.747426069876845,0,0,0,122,83,14.0,40.0,45.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3047.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8.773630227981448,0,0,0,139,72,13.0,40.0,58.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.801012324447974,20,0,0,139,89,46.0,72.0,98.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.829548047631866,48,0,0,156,122,39.0,67.0,94.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.859212529963038,165,0,0,178,133,34.0,76.0,103.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2273.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.889980420664704,79,0,0,172,111,46.0,112.0,143.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3036.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,8.921825957324666,0,0,0,161,83,55.0,130.0,170.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3243.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.954723035975654,0,0,0,144,61,16.0,40.0,54.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2923.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8.988645279371733,208,0,0,178,67,20.0,63.0,89.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1977.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.023566103179364,48,0,0,150,94,53.0,98.0,130.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1068.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,9.059458779833923,5,0,0,111,61,57.0,125.0,156.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
989.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9.096296499844792,64,0,0,117,44,27.0,103.0,116.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2129.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.134052430364385,89,0,0,78,33,26.0,63.0,72.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,9.172699770867851,0,0,0,111,56,30.0,72.0,94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2429.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9.212211805820907,71,0,0,117,61,21.0,54.0,67.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2713.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9.25256195424254,0,0,0,117,67,15.0,45.0,58.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2073.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.293723816097184,15,0,0,111,72,25.0,76.0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
531.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,9.33567121547729,231,0,0,144,94,51.0,89.0,116.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1062.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9.378378240561524,61,0,0,144,100,38.0,103.0,139.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2217.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.421819280356363,109,0,0,156,100,49.0,116.0,170.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1735.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,9.465969058249403,345,0,0,150,122,28.0,63.0,80.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1710.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9.510802662421042,145,0,0,156,111,27.0,63.0,76.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2091.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8.568237628581672,97,0,0,150,106,30.0,80.0,103.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2478.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.582874317397174,56,0,0,150,106,10.0,36.0,40.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.598870685736548,5,0,0,156,111,36.0,76.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.616210684447172,81,0,0,178,128,38.0,76.0,98.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2810.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.634877071100597,8,0,0,150,78,40.0,80.0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2493.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,8.654851473774508,3,0,0,128,67,35.0,98.0,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2719.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.67611445771033,0,0,0,122,39,34.0,80.0,103.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2691.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8.698645594363219,0,0,0,100,11,34.0,89.0,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.72242353235912,0,0,0,89,11,20.0,63.0,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.747426069876845,0,0,0,78,-6,22.0,54.0,67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,8.773630227981448,152,0,0,89,11,30.0,63.0,76.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
